group,group_zh,case_id,case_description_zh,target_category,target_category_zh,check_profile,path
legacy_quality_checker,旧版基础质量检查,error_case_jet_massflow_mismatch,JET_02关闭但cmd_massflow_02非零,massflow_errors,质量流量错误,mock/legacy,runs/error_case/legacy_quality_checker/error_case_jet_massflow_mismatch
legacy_quality_checker,旧版基础质量检查,error_case_missing_actual_massflow,缺少actual_massflow实际质量流量列,massflow_errors,质量流量错误,mock/legacy,runs/error_case/legacy_quality_checker/error_case_missing_actual_massflow
legacy_quality_checker,旧版基础质量检查,error_case_missing_required_column,缺少必需的JET_24列,format_errors,格式错误,mock/legacy,runs/error_case/legacy_quality_checker/error_case_missing_required_column
legacy_quality_checker,旧版基础质量检查,error_case_missing_required_file,缺少timeseries.csv,format_errors,格式错误,mock/legacy,runs/error_case/legacy_quality_checker/error_case_missing_required_file
legacy_quality_checker,旧版基础质量检查,error_case_nan_value,Drag_Total中包含NaN,format_errors,格式错误,mock/legacy,runs/error_case/legacy_quality_checker/error_case_nan_value
legacy_quality_checker,旧版基础质量检查,error_case_no_jet_reaction_nonzero,无喷气列但Jet_Reaction_Z非零,massflow_errors,质量流量错误,mock/legacy,runs/error_case/legacy_quality_checker/error_case_no_jet_reaction_nonzero
legacy_quality_checker,旧版基础质量检查,error_case_non_monotonic_time,physical_time发生回退,format_errors,格式错误,mock/legacy,runs/error_case/legacy_quality_checker/error_case_non_monotonic_time
ccm_physics,当前ccm物理接口检查,E01_format_time_nonmonotonic,physical_time非单调并触发时间相关错误,format_errors,格式错误,ccm,runs/error_case/ccm_physics/E01_format_time_nonmonotonic
ccm_physics,当前ccm物理接口检查,E02_name_coordinate_bad_lift_direction,升力方向与case_manifest不一致,name_or_coordinate_errors,名称或坐标错误,ccm,runs/error_case/ccm_physics/E02_name_coordinate_bad_lift_direction
ccm_physics,当前ccm物理接口检查,E03_massflow_off_jet_actual_leak,JET关闭时actual_massflow存在泄漏,massflow_errors,质量流量错误,ccm,runs/error_case/ccm_physics/E03_massflow_off_jet_actual_leak
ccm_physics,当前ccm物理接口检查,E04_force_accounting_missing_vehicle_force,整车气动力核算列缺失,force_accounting_errors,力核算错误,ccm,runs/error_case/ccm_physics/E04_force_accounting_missing_vehicle_force
ccm_physics,当前ccm物理接口检查,E05_numerical_instability_force_spike,力时序出现尖峰,numerical_instability_warnings,数值不稳定警告,ccm,runs/error_case/ccm_physics/E05_numerical_instability_force_spike
ccm_physics,当前ccm物理接口检查,E06_physical_question_unconfirmed_direction,方向映射状态未确认,physical_questions_for_haokun,需要浩坤判断的物理问题,ccm,runs/error_case/ccm_physics/E06_physical_question_unconfirmed_direction
